Name,Name_ch,Name_en,confirmed,deaths,recovered
요르단,约旦,Jordan,2097,15,1564
Sierra Leone,,Sierra Leone,2028,71,1594
Yemen,,Yemen,1962,570,1160
Malta,,Malta,1931,13,1490
Trinidad and Tobago,,Trinidad and Tobago,1797,27,685
New Zealand,,New Zealand,1757,22,1606
Botswana,,Botswana,1724,6,493
Réunion,,Réunion,1714,10,880
Uruguay,,Uruguay,1611,44,1419
조지아,格鲁吉亚,Georgia,1548,19,1270
Cyprus,,Cyprus,1490,21,1139
토고,多哥,Togo,1416,28,1035
라트비아,约旦,Latvia,1406,34,1173
Guyana,,Guyana,1373,41,742
Burkina Faso,,Burkina Faso,1370,55,1075
Liberia,,Liberia,1305,82,1158
Guadeloupe,,Guadeloupe,1269,16,336
안도라,安道尔,Andorra,1184,53,908
Niger,,Niger,1176,69,1088
Lesotho,,Lesotho,1085,31,528
Belize,,Belize,1050,13,213
베트남,越南,Vietnam,1044,34,735
Chad,,Chad,1017,77,884
Myanmar,,Myanmar,938,6,357
Sao Tome and Principe,,Sao Tome and Principe,896,15,853
Martinique,,Martinique,747,18,98
산마리노,圣马力诺,San Marino,715,42,660
일본크루즈,日本 邮轮,Diamond Princess,712,13,651
Channel Islands,,Channel Islands,630,48,545
French Polynesia,,French Polynesia,573,0,205
Turks and Caicos,,Turks and Caicos,538,4,218
Tanzania,,Tanzania,509,21,183
대만,台湾,Taiwan,489,7,471
Sint Maarten,,Sint Maarten,482,19,241
Papua New Guinea,,Papua New Guinea,460,5,232
Burundi,,Burundi,445,1,357
Comoros,,Comoros,427,7,410
Faeroe Islands,,Faeroe Islands,411,0,374
Mauritius,,Mauritius,356,10,335
Isle of Man,,Isle of Man,336,24,312
Eritrea,,Eritrea,319,0,284
Mongolia,,Mongolia,306,0,296
지브롤터,直布罗陀,Gibraltar,290,0,237
캄보디아,柬埔寨,Cambodia,274,0,266
부탄,不丹,Bhutan,227,0,142
Saint Martin,,Saint Martin,213,5,79
Cayman Islands,,Cayman Islands,205,1,204
Barbados,,Barbados,176,7,146
Bermuda,,Bermuda,172,9,157
Brunei,,Brunei,144,3,139
모나코,摩纳哥,Monaco,140,1,90
Seychelles,,Seychelles,136,0,127
리히텐슈타인,列支敦士登,Liechtenstein,107,1,97
Antigua and Barbuda,,Antigua and Barbuda,94,3,91
Curaçao,,Curaçao,71,1,35
St. Vincent Grenadines,,St. Vincent Grenadines,61,0,57
British Virgin Islands,,British Virgin Islands,47,1,8
마카오,澳门,Macao,46,0,46
Fiji,,Fiji,29,2,23
Timor-Leste,,Timor-Leste,27,0,25
Saint Lucia,,Saint Lucia,26,0,26
Grenada,,Grenada,24,0,24
New Caledonia,,New Caledonia,23,0,23
Laos,,Laos,22,0,21
Dominica,,Dominica,20,0,18
St. Barth,,St. Barth,18,0,13
Saint Kitts and Nevis,,Saint Kitts and Nevis,17,0,17
Caribbean Netherlands,,Caribbean Netherlands,16,0,7
Greenland,,Greenland,14,0,14
Montserrat,,Montserrat,13,1,12
Falkland Islands,,Falkland Islands,13,0,13
Vatican City,,Vatican City,12,0,12
Western Sahara,,Western Sahara,10,1,8
MS Zaandam,,MS Zaandam,9,2,0
Saint Pierre Miquelon,,Saint Pierre Miquelon,5,0,4
Anguilla,,Anguilla,3,0,3
중국,中国,China,85066,4634,80234
